,Unnamed: 0,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
10,10,남부동 스윗플롭,스윗플롭,초기값,32,19,경북 경산시 경산로13길 3-12 1층 스윗플롭,NO INFO,0507-1351-4308,https://96374308.modoo.at,"""안녕하세요 스윗플롭은 방문해 주시는 모든 분들이 달 콤한 디저트와 커피한잔을 하며 행복감을 채우고 가실 수 있는 공간이고 싶습니다 옥곡동 카페로 언제 ...""",공사중,"""{'디저트가 맛있어요': '26', '커피가 맛있어요': '21', '친절해요': '18', '매장이 청결해요': '18'}"""
11,11,서부1동 카페로아,카페로아,초기값,20,1,경북 경산시 경산로16길 15,10:30 - 23:30,0507-1346-2486,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '3', '매장이 청결해요': '3', '대화하기 좋아요': '3', '디저트가 맛있어요': '2'}"""
12,12,서부1동 코모커피,코모커피,4.44,138,20,경북 경산시 경산로16길 2 1층 코모커피,NO INFO,0507-1396-5433,https://instagram.com/como_coffee?igshid=tacao9k7zmig,"""소량 원두 판매를 하고 있습니다.
예약하고 매장영업시간 내에 찾으러 오시면 됩니다.
원두는 원하시는 시간 최소1시간 전에 주문해주셔야합니다.
(갈아 드릴수도 있습니다.)

영업시간

월~금 08:00-22:00
토 11:00-22:00
일 휴무
개인사정으로 일찍 마칠수 있습니다.

기본적인 커피음료도 즐기실수 있습니다.
드셔 보시고 원두 구매할수 있습니다.""",공사중,"""{'커피가 맛있어요': '42', '친절해요': '30', '음료가 맛있어요': '25', '가성비가 좋아요': '21', '대화하기 좋아요': '17'}"""
13,13,서부1동 꿀리로스팅랩,꿀리로스팅랩,4.29,68,43,경북 경산시 경산로34길 7-9,11:00 - 21:00,0507-1322-2461,http://coulisroasting.modoo.at,"""원두전문카페 꿀리로스팅랩입니다. 그해 생산되는 원두 를 샘플링 작업을 통해 최상급 원두를 제공하고 있으며 꿀리로스팅랩의 모든 커피는 스페셜티 등급원두...""",공사중,"""{'커피가 맛있어요': '11', '음료가 맛있어요': '6', '대화하기 좋아요': '4', '디저트가 맛있어요': '3', '친절해요': '3'}"""
14,14,서부1동 쏠트3.5,쏠트3.5,4.61,40,15,경북 경산시 경산로40길 24,09:30 - 22:00,010-4170-9733,NO INFO,"""바닷물의 소금의 농도는 3.5%입니다. 넘치지도, 모자라지도 않아 바닷물을 썩지 않게 하며, 모든 생물들이 조화롭게 살아갈 수 있도록 하는 소금의 역할을 작은 카페에서 시작합니다.""",공사중,"""{'커피가 맛있어요': '9', '디저트가 맛있어요': '3', '친절해요': '3', '음료가 맛있어요': '2', '인테리어가 멋져요': '2'}"""
15,15,서부2동 커피매거진 중산점,커피매거진 옥산점,초기값,26,12,경북 경산시 경산로42길 4 소담골입구 옆건물,13:00 - 01:00,0507-1371-3975,https://www.instagram.com/coffeemagazine__kk,"""NO INFO""",공사중,"""{'친절해요': '5', '음료가 맛있어요': '4', '커피가 맛있어요': '3', '디저트가 맛있어요': '3'}"""
16,16,서부2동 토닷커피,토닷커피,초기값,90,31,경북 경산시 경산로54길 27 104호,11:00 - 22:00,0507-1362-2735,https://www.instagram.com/todot.coffee/?igshid=YmMyMTA2M2Y%3D,"""토닷커피는 전문 로스터가 로스팅한 스페셜티 원두를 사용하고있습니다. 전좌석 콘센트배치, 노트북 사용가능합니다. 건물뒷편에 넓은 주차장이 있습니다. 4시간무료이용""",공사중,"""{'친절해요': '42', '커피가 맛있어요': '41', '음료가 맛있어요': '28', '매장이 청결해요': '25'}"""
17,17,서부1동 마실커피 옥곡점,마실커피 옥곡점,초기값,249,6,경북 경산시 경산로7길 4-3 마실커피,08:00 - 01:00,053-816-1238,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '118', '가성비가 좋아요': '86', '친절해요': '72', '음료가 맛있어요': '62'}"""
18,18,중앙동 커피특별시 본점,커피특별시 본점,초기값,47,1,경북 경산시 경안로 204,08:00 - 21:00,0507-877-3540,https://100원커피이벤트-선착순주문하기.com,"""가성비 최고는 바로 1L 커피특별시! 저희 매장은 [패스오더 앱]으로 편하게 주문이 가능한 매장입니다!""",공사중,"""{'커피가 맛있어요': '25', '친절해요': '23', '가성비가 좋아요': '23', '음료가 맛있어요': '21'}"""
19,19,중앙동 월든,월든,초기값,175,99,경북 경산시 경안로21길 17-2 삼신하이츠 근방주차 까꼬보까 사이길10m,11:00 - 19:00,053-815-2880,https://www.instagram.com/,"""오래된 돌담길 끝자락에 유럽풍 예쁘고 아기자기한 서 프라이즈카페 마당에 새들이 찾아 저저귀는 힐링카페 녹색의 푸르름과 예쁜 꽃들이 찾은 이의 마음을 ...""",공사중,"""{'커피가 맛있어요': '47', '인테리어가 멋져요': '37', '친절해요': '27', '뷰가 좋아요': '23', '매장이 청결해요': '22'}"""
20,20,중앙동 카페윤슬,카페 윤슬,초기값,71,4,경북 경산시 경안로29길 36 1층 카페윤슬,"11:00 - 21:00
20:00 라스트오더",0507-1491-5802,NO INFO,"""안녕하세요!
23년 4월 신규오픈한 카페윤슬입니다 :)

매장뒷편에 넉넉한 주차공간 있습니당 !
(카센터와 매장 사이길로 들어와서 오른쪽!)""",공사중,"""{'커피가 맛있어요': '56', '디저트가 맛있어요': '38', '친절해요': '36', '인테리어가 멋져요': '29'}"""
21,21,남부동 담소,담소,초기값,46,3,경북 경산시 경안로31길 19,NO INFO,0507-1491-7558,NO INFO,"""최상의 신선한 제료사용 고객을 왕처름 모십니다""",공사중,"""{'커피가 맛있어요': '23', '친절해요': '19', '음료가 맛있어요': '10', '가성비가 좋아요': '10'}"""
22,22,중방동 댄싱컵 경산중방점,댄싱컵 경산중방점,초기값,199,20,경북 경산시 경안로38길 18 1층,07:00 - 20:30,0507-1426-1010,http://www.dancingcup.co.kr,"""High-quality Low-price coffe.""",공사중,"""{'커피가 맛있어요': '113', '친절해요': '59', '매장이 청결해요': '45', '음료가 맛있어요': '42'}"""
23,23,중방동 또리커피 경산점,커피프렌즈,4.54,102,49,경북 경산시 경안로38길 25-1 1층 커피프렌즈,"08:00 - 24:00
23:30 라스트오더",0507-1461-0324,NO INFO,"""(구)동백카페에서 커피프렌즈로 새롭게 시작합니다. 미쿡핫도그와 와플 떡뽁이등 음료를 함께 즐길수 있는 매력적인분위기 감성을 느껴보세요.""",공사중,"""{'친절해요': '34', '커피가 맛있어요': '31', '음료가 맛있어요': '23', '가성비가 좋아요': '18', '디저트가 맛있어요': '14'}"""
24,24,중방동 시레나커피,시레나커피 & 눈꽃빙수,4.5,37,초기값,경북 경산시 경안로39길 41,NO INFO,050-7996-7991,NO INFO,"""NO INFO""",공사중,"""{'디저트가 맛있어요': '8', '커피가 맛있어요': '7', '음료가 맛있어요': '3', '가성비가 좋아요': '2', '좌석이 편해요': '1'}"""
25,25,중방동 콤마398,COMMA398,초기값,13,2,경북 경산시 경안로39길 8 1층 가게 콤마398,NO INFO,0506-515-3343,https://www.instagram.com/comma398,"""부모님이 하시던 음식점을 카페로 바꿔보았습니다. 흔히 말하는 감성카페 분위기는 아니지만, 편히 쉬었다 갈 수 있는 공간이 되기를 바랍니다. 1인가게로 커피와 간단한 빵류를 팔아요!""",공사중,"""{'디저트가 맛있어요': '11', '커피가 맛있어요': '9', '아늑해요': '9', '음료가 맛있어요': '8'}"""
26,26,중방동 라벨라수,라벨라수,4.6,86,26,경북 경산시 경안로41길 51-8 라벨라수,10:00 - 20:00,0507-1402-6629,https://blog.naver.com/labellasu,"""special macaron shop, labella su!! 경산 수제 마카 롱, 디저트 카페 라벨라수입니다 :) 매일매일 맛있게 좋 은 재료들을 가득 담아 만든 디저트들을 만나보...""",공사중,"""{'디저트가 맛있어요': '35', '친절해요': '26', '커피가 맛있어요': '24', '특별한 메뉴가 있어요': '13', '아늑해요': '9'}"""
27,27,중방동 1LL 미니멀스토어 1호점,1LL 미니멀스토어 1호점,초기값,43,11,경북 경산시 경안로44길 16 1층,08:00 - 19:00,0507-1399-4571,http://pf.kakao.com/_xapxeYxj,"""* 주문 및 예약 - 카카오톡 검색 1LL 미니멀스토어 1호점

안녕하세요.

1LL 미니멀스토어 1호점은, 2015년에 오픈한 1LL(일)의 또 다른 도전입니다.

저희는 언제나 원재료를 가장 중요하게 생각하며, 좋은 원재료를 선택해 그 재료의 개성을 극대화하는 것을 목표로 하고 있습니다. 이번 1LL 미니멀스토어 역시 같은 철학 속에서 탄생시킨 브랜드입니다.

미니멀스토어의 핵심은 스페셜티, 마이크로랏처럼 높은 수준의 단일품종 원두를 아주 합리적인 가격으로 제공하는 것이 목표입니다.

아프리카, 아메리카, 아시아(오세아니아 포함) 대륙에서 온 밝게 볶은(Light Roasting) 단일품종(Single Origin) 원두를 선택해서 오직 필터커피로만 드실 수 있으며, 원두는 상시 변경됩니다.

원두는 생두의 가격에 따라 달라질 수 있지만, 항상 2,900원에 이용하실 수 있는 원두는 구비되어 있습니다. 또한 가끔씩 제공하는 게이샤 품종처럼 값비싼 원두도 다른 어떤 곳보다 합리적인 가격으로 제공한다고 자부합니다.

추가로 커피와 함께 즐길 수 있도록 휘낭시에를 직접 반죽, 제조해서 판매하고 있습니다.""",공사중,"""{'커피가 맛있어요': '42', '가성비가 좋아요': '25', '디저트가 맛있어요': '23', '인테리어가 멋져요': '23'}"""
28,28,북부동 카페페이퍼,페이퍼,초기값,105,127,경북 경산시 경안로67길 2-13 페이퍼,11:30 - 22:00,0507-1355-4843,https://www.instagram.com/cafe_paper_,"""힙한감성에 사진이 잘나오는 카페. 이쁜 악세사리도 같이 구경할 수 있어요.
레스토랑에 가야 먹을 수 있는 브루스케타를 카페에서 간편히 즐길 수 있습니다.""",공사중,"""{'디저트가 맛있어요': '71', '커피가 맛있어요': '62', '특별한 메뉴가 있어요': '52', '음료가 맛있어요': '49'}"""
29,29,북부동 바흐에스프레소,바흐에스프레소,초기값,93,116,경북 경산시 경안로67길 4-9 1층 바흐 에스프레소,NO INFO,0507-1491-6606,https://www.instagram.com/bach_espresso,"""우린 집 밖에서도 쉴 곳이 필요해요, 부디 편히 쉬었다 가세요.""",공사중,"""{'커피가 맛있어요': '70', '친절해요': '55', '디저트가 맛있어요': '29', '매장이 청결해요': '27', '음료가 맛있어요': '23', '인테리어가 멋져요': '23', '사진이 잘 나와요': '19', '특별한 메뉴가 있어요': '19', '가성비가 좋아요': '9', '대화하기 좋아요': '5', '주차하기 편해요': '3', '집중하기 좋아요': '3', '좌석이 편해요': '2', '차분한 분위기에요': '1', '컨셉이 독특해요': '1', '아늑해요': '1', '음식이 맛있어요': '1', '음악이 좋아요': '1', '화장실이 깨끗해요': '1'}"""
30,30,북부동 카페에콜로지아,카페 에콜로지아,4.66,59,초기값,경북 경산시 경안로69길 7,NO INFO,053-811-5677,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '14', '친절해요': '11', '음료가 맛있어요': '6', '가성비가 좋아요': '4', '디저트가 맛있어요': '3'}"""
31,31,북부동 카페텀즈업,카페 텀즈업,4.69,57,초기값,경북 경산시 경안로69길 9 대평그린빌 정문 카페텀즈업,11:00 - 21:00,0507-1439-4477,NO INFO,"""*CAFE THUMBSUP* # 스페셜티 등급의 원두만을 사용합니다: ) (신맛이 느껴지는 원두) # 소량 단체 주 문은 ((꼭꼭)) 최소 2일 전, 대량 단체 주문은 ((...""",공사중,"""{'친절해요': '27', '매장이 청결해요': '15', '가성비가 좋아요': '13', '디저트가 맛있어요': '12', '특별한 메뉴가 있어요': '9', '커피가 맛있어요': '8', '음식이 맛있어요': '8', '음료가 맛있어요': '5', '인테리어가 멋져요': '5', '좌석이 편해요': '4', '대화하기 좋아요': '4', '재료가 신선해요': '2', '혼밥하기 좋아요': '1', '양이 많아요': '1', '집중하기 좋아요': '1'}"""
32,32,남부동 노멀즈커피,노멀즈커피,4.4,57,20,경북 경산시 경청로217길 3-11 백자산하이츠 1층상가,"09:00 - 19:00
18:50 라스트오더",0507-1405-5208,http://instagram.com/normals_coffee,"""모든분들 환영합니다. 이곳에서 좋은맛, 좋은분위기, 좋은음악으로 힐링하실수있도록 노력할께요^^""",공사중,"""{'커피가 맛있어요': '28', '친절해요': '22', '매장이 청결해요': '22', '디저트가 맛있어요': '18', '음료가 맛있어요': '13'}"""
33,33,남부동 카페나무,카페나무 사랑백천점,4.67,115,초기값,경북 경산시 경청로217길 7-14,10:00 - 24:00,053-816-5008,NO INFO,"""고급 원두를 사용해 풍미가 좋은 커피~ 맛나다요^^
수제 음료가 많은 까페~
건강까지 챙길 수 있다는^^(자몽, 생강, 청귤, 레몬, 단호박라떼, 고구마라떼, 플레인요거트 등~)
예쁜 까페에서 커피 마시며 취미활동도 함께해요~""",공사중,"""{'커피가 맛있어요': '56', '친절해요': '37', '음료가 맛있어요': '25', '대화하기 좋아요': '17', '디저트가 맛있어요': '14'}"""
34,34,남부동 제이제이커피 백천점,제이제이커피,4.39,51,초기값,경북 경산시 경청로219길 4-6,10:00 - 23:50,NO INFO,NO INFO,"""저희 제이제이커피 본사는 신선한 일등급 커피를 이디오피아에서 직접 수입하여 핸즈커피 로스터 공장에서 직접로스팅합니다.
가성비 있는 가격으로 고퀄리티 커피를 제공하고
 있습니다.

싸다 맛있다.""",공사중,"""{'커피가 맛있어요': '17', '가성비가 좋아요': '6', '디저트가 맛있어요': '3', '음료가 맛있어요': '3', '친절해요': '3', '특별한 메뉴가 있어요': '3', '주차하기 편해요': '1', '매장이 청결해요': '1', '대화하기 좋아요': '1'}"""
35,35,남부동 티플레이스,티플레이스,4.95,704,초기값,경북 경산시 경청로221길 3,10:00 - 23:00,053-215-9533,NO INFO,"""차를 마시면서 소통할수 있는 티플레이스입니다~

냉동빵이 아닌 직접반죽하여 만드는 핸드메이드 와플

100%핸드메이드 수제청도 다양하게 있습니다~~^^""",공사중,"""{'커피가 맛있어요': '37', '친절해요': '27', '음료가 맛있어요': '23', '가성비가 좋아요': '23', '디저트가 맛있어요': '14'}"""
36,36,남부동 카페 포무스,카페포무스,초기값,52,17,경북 경산시 경청로230길 14-9 2층,NO INFO,0507-1419-8815,https://www.instagram.com/cafe_pomus/,"""다양한 당도 좋은 생과일 및 과일음료 , 커피, 디저트를 판매하는 생과일 전문 카페로 과일도 따로 판매하고 있습니다.

 생과일 음료를 주문하실 경우, 생과일 손질에 드는 시간으로 인해 평균 5~10분가량의 대기 시간이 필요합니다. 미리 전화로 주문을 주실 경우 대기시간을 최소화 하실 수 있습니다. 항상 더 좋은 모습 보여드리는 카페 포무스가 되겠습니다.
감사합니다.

 주차는 건물 앞 3자리, 건물 바로 뒷편에 공터를 이용하실 수 있습니다.

 과일의 시세에 따라 가격이 변동될 수 있습니다.""",공사중,"""{'음료가 맛있어요': '36', '재료가 신선해요': '27', '친절해요': '26', '디저트가 맛있어요': '23'}"""
37,37,남천면 크레센트,카페 크레센트,4.65,106,39,경북 경산시 경청로230길 19 1층,09:00 - 22:00,0507-1336-8593,http://instagram.com/crescent.mo0n,"""낮에는 예쁘고 밤에는 분위기있는 
카페 크레센트입니다~♡

여심저격 인테리어와 편안한 단체석
아기자기한 소품, 맛있는 커피가 있는곳~♡

다양한 수제 디저트와 시그니처 음료인 
문(moon)시리즈 드시러 오세요~♡""",공사중,"""{'커피가 맛있어요': '32', '인테리어가 멋져요': '25', '음료가 맛있어요': '19', '친절해요': '16', '디저트가 맛있어요': '15'}"""
38,38,북부동 담쟁이부엌,담쟁이부엌,4.32,26,초기값,경북 경산시 계양로35길 33-4,12:00 - 14:00,053-201-0810,NO INFO,"""NO INFO""",공사중,"""{'친절해요': '4', '가성비가 좋아요': '4', '대화하기 좋아요': '4', '인테리어가 멋져요': '3', '사진이 잘 나와요': '3'}"""
39,39,중앙동 카페폰드,카페폰드,4.33,403,182,경북 경산시 계양로37길 27-1,NO INFO,053-813-2700,http://instagram.com/cafefond,"""NO INFO""",공사중,"""{'뷰가 좋아요': '86', '커피가 맛있어요': '75', '음료가 맛있어요': '44', '디저트가 맛있어요': '30', '대화하기 좋아요': '29'}"""
40,40,북부동 카페베풂,카페베풂,4.86,45,18,경북 경산시 남매공원로2길 16 102호,NO INFO,0507-1462-2230,https://www.instagram.com/cafe_bepoom,"""NO INFO""",공사중,"""{'디저트가 맛있어요': '21', '친절해요': '21', '매장이 청결해요': '21', '커피가 맛있어요': '18', '음료가 맛있어요': '16'}"""
41,41,북부동 코히 kkohi,코히 kkohi,초기값,40,94,경북 경산시 남매공원로2길 22-1 1층,휴무,0507-1329-1674,https://www.instagram.com/kkohi_roasters/,"""안녕하세요. kkohi_roasters입니다. 코히는 에스프레소와 드립 커피를 전문으로 내세우고 있는 카페입니다.""",공사중,"""{'커피가 맛있어요': '31', '친절해요': '21', '디저트가 맛있어요': '17', '특별한 메뉴가 있어요': '17'}"""
42,42,북부동 그린보트커피,그린보트커피 본점,4.93,193,143,경북 경산시 남매공원로2길 24-1 1층 그린보트커피,08:00 - 21:00,0507-1457-4247,https://www.instagram.com/greenboat_coffee,"""Daily coffee shop""",공사중,"""{'커피가 맛있어요': '149', '뷰가 좋아요': '52', '친절해요': '42', '매장이 청결해요': '40', '인테리어가 멋져요': '33'}"""
43,43,북부동 쿠프,쿠프,초기값,121,120,경북 경산시 남매공원로2길 8-1 1층,NO INFO,0507-1322-9420,https://www.instagram.com/welcome.coupe,"""COUPE는 아이들이 먹어도 안전한 프랑스 밀을사용하여 빵을 만듭니다. 매일 아침 굽는 빵으로 샌드위치와 음료를 제공합니다.""",공사중,"""{'디저트가 맛있어요': '66', '커피가 맛있어요': '65', '친절해요': '61', '특별한 메뉴가 있어요': '48', '매장이 청결해요': '41', '빵이 맛있어요': '36', '인테리어가 멋져요': '34', '음료가 맛있어요': '25', '사진이 잘 나와요': '15', '뷰가 좋아요': '9', '대화하기 좋아요': '8', '주차하기 편해요': '6', '가성비가 좋아요': '6', '좌석이 편해요': '4', '음식이 맛있어요': '3', '집중하기 좋아요': '3', '건강한 맛이에요': '2', '재료가 신선해요': '1', '양이 많아요': '1'}"""
44,44,남산면 슈가립스,슈가립스,4.52,68,초기값,경북 경산시 남산면 삼성현공원로 59,NO INFO,054-3121-2342,NO INFO,"""NO INFO""",공사중,"""{'친절해요': '12', '음료가 맛있어요': '9', '가성비가 좋아요': '9', '디저트가 맛있어요': '8', '커피가 맛있어요': '6'}"""
45,45,자인면 마마스카페,마마스카페,4.16,93,초기값,경북 경산시 남산면 삼성현공원로 72,NO INFO,053-852-2950,NO INFO,"""NO INFO""",공사중,"""{'친절해요': '14', '커피가 맛있어요': '13', '음료가 맛있어요': '10', '매장이 청결해요': '8', '주차하기 편해요': '6'}"""
46,46,자인면 패브릭피치스,패브릭피치스,초기값,621,274,경북 경산시 남산면 삼성현공원로7길 4,NO INFO,0507-1366-2201,NO INFO,"""유아 동반 가능 (아이의 안전과 다른 고객을 위해 동반 가족분들의 관심 부탁드립니다)
야외 및 지하 테라스 한정 반려 동물 동반 가능 (목줄과 대형견은 입마개 착용 부탁드립니다)""",공사중,"""{'주차하기 편해요': '273', '뷰가 좋아요': '223', '커피가 맛있어요': '194', '인테리어가 멋져요': '184'}"""
47,47,자인면 찰스아노,찰스아노,초기값,142,160,경북 경산시 남산면 삼성현문화길 9 찰스아노,"09:00 - 20:30
20:00 라스트오더",0507-1401-3581,https://www.instagram.com/charlesano_official/,"""Culture, Experience, Share
커피를 마시는 공간을 뛰어넘어 문화와 경험을 공유하는 의미를 담은 복합문화공간입니다.

자연과 함께하는 공간에서 건강한 F&B, 공연, 전시로 새로운 경험을 선사합니다!

다양한 공연, 전시, 이벤트가 펼쳐집니다.

Enjoy Charles !

오전 9시부터 브런치,디저트 식사 가능합니다
찰스아노에서 건강한 아침 식사를 즐겨보세요!""",공사중,"""{'인테리어가 멋져요': '81', '커피가 맛있어요': '73', '뷰가 좋아요': '73', '친절해요': '60'}"""
48,48,자인면 카페퍼즈,카페퍼즈,4.61,461,146,경북 경산시 남산면 상대로 695-11 카페퍼즈,10:30 - 21:00,053-852-0002,https://cafepause.modoo.at/,"""경산 상대온천 부근에 위치한 카페퍼즈입니다. 백양지의 아름다운 풍경과 맑은공기,그리고 맛있는 커피와 디저트를 즐기러 오세요~ 나에게 주는 선물같은 휴식...'퍼즈'입니다~^^""",공사중,"""{'뷰가 좋아요': '126', '커피가 맛있어요': '117', '친절해요': '80', '음료가 맛있어요': '64', '디저트가 맛있어요': '63'}"""
49,49,자인면 백양지 카페,카페백양지,4.42,448,51,경북 경산시 남산면 상대로 695-12 카페백양지,NO INFO,0507-1381-1401,https://www.instagram.com/,"""아름다운 저수지의 뷰를 바로 앞에서 느껴보세요
손수만들고 직접담근 재료로만 만든 브런치와 음료를 맛보세요

최선을 다합니다""",공사중,"""{'커피가 맛있어요': '146', '뷰가 좋아요': '113', '디저트가 맛있어요': '81', '친절해요': '72', '음료가 맛있어요': '61'}"""
50,50,자인면 브리프저니,브리프저니,초기값,316,215,경북 경산시 남산면 어봉지길 251-90,NO INFO,0507-1439-1356,NO INFO,"""coffee house. plant studio. ceramic studio. art shop.
.
Create your Taste.
일상의 가벼운 자극.
.
감각을 채우는 브리프저니로 초대합니다.""",공사중,"""{'커피가 맛있어요': '181', '디저트가 맛있어요': '151', '인테리어가 멋져요': '150', '뷰가 좋아요': '139'}"""
51,51,자인면 머뭄머무르다,머뭄:머무르다,초기값,51,8,경북 경산시 남산면 하남로 324,10:00 - 19:00,0507-1367-9792,https://www.instagram.com/meomum_meomureuda,"""NO INFO""",공사중,"""{'커피가 맛있어요': '38', '음료가 맛있어요': '17', '친절해요': '16', '디저트가 맛있어요': '15'}"""
52,52,북부동 모먼트페이지,모먼트페이지,4.77,121,77,경북 경산시 대동안길 14-4 1층상가,11:30 - 21:30,0507-1343-4230,http://instagram.com/momentpage.coffee,"""NO INFO""",공사중,"""{'친절해요': '25', '커피가 맛있어요': '24', '디저트가 맛있어요': '23', '음료가 맛있어요': '23', '인테리어가 멋져요': '17'}"""
53,53,북부동 비둘기는멍청해보여,비둘기는멍청해보여,4.66,168,141,경북 경산시 대학로 271,12:00 - 22:00,010-9920-5676,NO INFO,"""안녕하세요 카페 비둘기는 멍청해 보여입니다""",공사중,"""{'음료가 맛있어요': '43', '커피가 맛있어요': '42', '인테리어가 멋져요': '37', '디저트가 맛있어요': '30', '대화하기 좋아요': '30'}"""
54,54,북부동 카페 더퍼스트,카페 더 퍼스트,초기값,229,162,경북 경산시 대학로 277,08:00 - 20:00,0507-1328-9111,https://www.instagram.com/cafe_the1st,"""NO INFO""",공사중,"""{'디저트가 맛있어요': '149', '커피가 맛있어요': '148', '친절해요': '129', '음료가 맛있어요': '114'}"""
